"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Finlande","FIN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.96","","10.25","","","","","","","","","","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Fidji","FJI","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.62","10.51","","11.05","11.57","13.33","13.43","13.97","17.76","14.16","14.36","","11.96","","14.19","15.57","20.84","14.97","7.84","","","",
"France","FRA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Îles Féroé","FRO","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronésie, États fédérés de","FSM","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.29","","","19.85","","19.79","19.68","18.92","19.84","19.84","19.65","","18.71","18.73","18.48","18.51","18.57","18.58","18.6","","17.8","18.89","","","18.65","","","18.83","","",
"Royaume-Uni","GBR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.88","1","1.13","","",
"Géorgie","GEO","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.86","","9.77","9.95","7.74","7.56","6.99","5.65","0.63","0.6","0.51","0.5","1.2","1.32","1.22","","0.43","1.23","","","","0.27","0.43","0.4","","",
"Ghana","GHA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.64","","","","","","","14.26","12.52","12.52","12.52","","","","13.03","12.97","12.96","12.88","","","12.49","","","12.3","12.33","12.39","12.44","12.84","12.84","12.96","","",
"Gibraltar","GIB","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinée","GIN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.24","","","","","","6.26","14.07","","","13.52","13.32","13.5","","13.52","","","","","13.26","13.08","12.67","13.15","13.14","12.9","","",
"Gambie","GMB","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.82","","","","18.7","18.73","18.82","15.54","15.58","15.58","15.6","","","","","14.25","","13.85","14.02","13.97","","",
"Guinée-Bissau","GNB","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.34","15.34","13.98","14.23","14.03","13.08","13.92","13.49","13.26","13.23","13.16","13.36","13.92","13.39","","","14.44","14.3","12.66","13.2","13.23","13.55","","",
"Guinée équatoriale","GNQ","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.45","","","19.34","19.32","","","19.13","","18.65","","","","","","","","","","","","","","","19.97","","",
"Grèce","GRC","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Grenade","GRD","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.37","","","18.57","12.79","18.46","12.99","12.89","","","10.58","10.53","10.61","","9.07","11.57","10.98","10.99","","11.23","10.81","","","10.55","","","12.92","","",
"Groenland","GRL","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.68","","8.35","7.69","7.12","6.87","7.16","6.91","6.41","5.2","6.69","6.55","5.36","4.45","5.01","4.09","3.99","3.86","3.83","3.51","3.33","","","","","2.6","3","3.12","","",
"Guam","GUM","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.17","","","18.5","18.58","12","12.07","12.07","","","11.38","12.36","10.35","11.92","10.25","9.76","9.74","10.63","","9.82","9.85","9.77","9.87","9.48","9.4","9.28","9.16","","",
"Revenu élevé","HIC","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chine, RAS de Hong Kong","HKG","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Honduras","HND","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.59","7.21","9.23","8.04","7.96","8.1","7.84","6.69","6.67","5.54","6.69","6.56","5.4","4.73","6.55","6.53","6.51","6.38","6.36","","4.32","","","4.01","","3.9","3.36","1.63","","",
"Pays pauvres très endettés (PPTE)","HPC","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatie","HRV","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.77","6.02","4.15","2.56","2.42","2.37","2.47","2.48","2.38","2.38","2.39","2.46","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Haïti","HTI","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.08","3.29","","","","","3.15","3.03","3.34","7.13","6.48","2.87","6.21","6.21","5.97","6.33","","","","6.39","","","","",
"Hongrie","HUN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.36","","10.21","","","10.32","5.85","","","","","8.89","","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"BIRD seulement","IBD","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BIRD et IDA","IBT","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA totale","IDA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA mélange","IDB","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonésie","IDN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.78","23.15","","","16.74","","14.01","10.76","20.57","7.93","9.86","8.02","6.13","6.28","5.74","5.81","5.78","5.82","5.57","6.84","4.96","5.18","5.3","5.43","5.37","","","6.31","5.86","6.25","6.71","6.29","6.02","5.82","","",
"IDA seulement","IDX","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Île de Man","IMN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Inde","IND","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.85","","56.02","","","","37","28.9","","32.4","33.4","31.79","28.79","25.63","28.57","16.5","13.86","14.66","9.98","10.28","8.88","10.56","10.71","10.59","","9.75","8.91","8.88","9.03","10.21","9.42","9.86","10.06","","",
"Non classifié","INX","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Irlande","IRL","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Iran, République islamique d’","IRN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.47","","","19.03","18.73","","","21.3","20.53","","","20.92","","","","","","","","16.18","15.22","","","","",
"Iraq","IRQ","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islande","ISL","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","","","5.06","","7.41","6.73","7.94","6.26","","7.32","7.09","7.59","3.86","3.95","3.55","2.79","2.55","2.59","2.6","2.6","2.46","2.22","1.71","1.29","","1.17","","1.53","1.32","","",
"Israël","ISR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.48","","","","","","12.27","8.8","6.43","6.22","6.09","2.56","2.66","4.91","2.45","2.69","5.86","","4.95","1.89","1.77","1.78","4.03","3.84","1.89","","","","3.23","3.16","","",
"Italie","ITA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Jamaïque","JAM","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.07","","","18.19","9.21","9.21","9.47","9.56","9.49","","9.15","9.32","","","8.38","8.37","11.14","10.88","","9.7","10.28","","","","9","8.95","9.72","","",
"Jordanie","JOR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.82","16.45","16.62","14.48","14.19","12.29","10.87","10.7","10.62","9.74","11.63","11.76","11.33","11.29","5.95","5.87","5.72","4.84","","","5.23","","5.59","","",
"Japon","JPN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.55","4.41","4","3.97","3.97","4.03","4.12","4.04","4.25","4.01","3.89","3.88","4.25","4.43","4.41","4.25","4.17","4.05","4.35","4.11","3.92","3.93","3.63","3.84","3.8","2.33","3.77","3.52","3.51","3.69","3.77","5.91","2.31","2.18","1.99","","",
"Kazakhstan","KAZ","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.42","","","","4.48","","7.56","7.43","7.49","7.62","6.95","6.91","5.12","4.79","4.64","5.39","4.17","4.48","4.75","","",
"Kenya","KEN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.23","","","","","17.57","20.9","20.45","16.84","","16.66","12.42","12.32","12.13","12.09","12.17","12.55","12.41","12.05","11.72","11.88","11.96","12.11","","12.56","13.08","13.69","14.12","15.83","","",
"République kirghize","KGZ","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","4.66","4.55","8.17","4.28","","","3","2.9","3.16","3.06","3.26","3.31","3.31","3.31","3.28","5.53","4.63","4.12","3.88","5.57","3.85","4.39","","","",
"Cambodge","KHM","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.74","16.28","16.26","","14.09","13.73","12.42","12.36","","13.16","12.26","12.36","","8.04","","12.45","","","","8.2","7.72","12.31","","",
"Kiribati","KIR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Saint-Kitts-et-Nevis","KNA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.98","","","18.98","14.34","14.46","14.54","14.9","","","12.88","12.33","12.24","14.02","12.16","11.84","11.64","11.64","11.65","11.66","11.68","13.54","13.59","14.3","10.03","","","","",
"Corée, République de","KOR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.83","14.89","12.98","","11.18","","","8.27","9.83","9.72","10.25","8.54","9.84","9.91","9.58","9.49","9.12","9.12","9.2","8.36","9.76","9.97","10.12","10.36","10.18","10.33","5.98","6.05","11.12","5.36","5.23","","5.29","5","5.73","","",
"Koweït","KWT","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.46","4.82","4.82","4.31","4.29","3.99","4.03","3.5","4.62","4.62","4.25","4.49","3.9","3.86","3.86","3.88","3.9","3.9","3.84","3.86","4.64","","",
"Amérique latine et Caraïbes (hors revenu élevé)","LAC","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"République démocratique populaire lao","LAO","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.36","9.7","","","8.63","6.87","6.17","5.57","9.25","","","","","","4.01","2.79","2.03","1.95","1.75","2.72","2.72","2.49","2.49","","",
"Liban","LBN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.94","19.52","8.41","10.28","","7.11","8.78","6.35","7.72","","","","","","","5.88","5.86","5.3","3.46","5.01","4.97","5.08","","","","",
"Libéria","LBR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.86","9.75","9.67","","","","9.58","","13.92","14.09","13.6","","",
"Libye","LBY","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.57","","","","","","22.91","","","","0","","","","","","","","","","","","","","4.84","4.46","","","",
"Sainte-Lucie","LCA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.95","","","18.58","18.62","12.36","12.84","12.8","","12.66","9.68","9.26","","","13.29","13.38","11.06","11.75","8.75","8.16","8.7","","","8.71","8.93","","","","",
"Amérique latine et Caraïbes","LCN","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pays les moins avancés: classement de l’ONU","LDC","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faible revenu","LIC","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.38","","","23.9","24.51","","","20.19","11.16","","9.72","9.61","","9.62","10.57","11.73","11.4","11.08","10.95","10.77","9.79","9.97","9.94","","9.33","7.87","","10.35","12.06","16.38","8.84","5.73","","","",
"Revenu intermédiaire, tranche inférieure","LMC","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Revenu faible et intermédiaire","LMY","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.78","","","9.97","11.97","10.91","9.4","10.2","9.88","10.73","10.41","9.26","2.6","3.18","3.6","3.11","2.35","6.03","7.45","5.81","6.01","4.19","","",
"de dividende tardif démographique","LTE","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lituanie","LTU","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.08","","3.23","","","","","1.4","1.27","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Luxembourg","LUX","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lettonie","LVA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.67","4.93","","","","3.26","","","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","1.95","","",
"Région administrative spéciale de Macao, Chine","MAC","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Saint-Martin (fr)","MAF","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Maroc","MAR","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.07","","","","20.6","","","29.53","29.08","28.81","28.49","","19.23","15.73","13.3","11.89","9.16","16.97","14.08","4.83","","4.32","4.35","4.3","4.34","","4.33","4.33","5.73","","","",
"Monaco","MCO","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.75","","","","4.94","5.11","","5.21","5.29","5.32","4.37","4.77","4.4","5.12","4.57","5.02","4.55","8.3","4.61","5.41","5.34","","","","2.19","2.34","2.37","","",
"Madagascar","MDG","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.49","7.63","7.63","6.52","","6.1","5.33","5.61","5.14","3.76","11.37","13.33","12.11","12.13","10.73","10.56","10.93","10.96","10.96","10.69","10.94","10.26","6.91","9.25","8.89","8.27","8.53","10.03","","",
"Maldives","MDV","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.38","21.23","21.26","21.18","21.14","21.39","21.4","","21.5","21.57","21.98","22.11","11.09","10.98","10.66","11.58","11.41","11.14","11.69","13.25","11.73","10.43","9.73","","",
"Moyen-Orient, Afrique du Nord, Afghanistan et Pakistan","MEA","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mexique","MEX","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.29","","","","12.36","14.59","14.76","14.72","15.96","17.97","18.08","15.29","18.32","10.21","9.2","8.04","6.4","6.25","5.28","7.73","7.49","6.82","6.5","3.02","6.07","6.17","2.97","3.28","","","","2.69","","",
"Îles Marshall","MHL","Taux des droits de douane, appliqués, moyenne simple, tous produits (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
